1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
richard19@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,reinforcement learning-powered concept visualization system,Maybe,Implement real-time student performance prediction in Engineering fundamentals courses with Transformer models
blankenshipw@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,None,predictive analytics-powered concept visualization system,Yes,Develop Ensemble methods to predict skill mastery in Clinical skills for early warning systems
robert64@gmail.com,Undergraduate,Education,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,"Privacy concerns, Cost of implementation",reinforcement learning-powered automated grading system,Yes,Faculty training program on model interpretation
tracy.daniel@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,NLP-powered concept visualization system,No,Develop Ensemble methods to predict skill mastery in Business courses for tutor matching
jamie.callahan@gmail.com,Postgraduate,Engineering,Somewhat familiar,Grammarly,Grammarly,3,None,NLP-powered writing assistance system,No,Random Forests-based system for adaptive testing focusing on student performance in Business courses
vickie58@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,Cost of implementation,knowledge graphs-powered code debugging system,No,Create cloud-based AI lab environments
jeffrey.campbell@gmail.com,Postgraduate,Education,Very familiar,"Grammarly, ChatGPT","Grammarly, ChatGPT",3,"Privacy concerns, Limited awareness of available AI tools",knowledge graphs-powered writing assistance system,Yes,LSTM networks-based system for resource recommendation focusing on learning gaps in Clinical skills
holly21@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,predictive analytics-powered concept visualization system,No,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
daniel.terry@gmail.com,Postgraduate,Business,Somewhat familiar,"IBM Watson, Turnitin","IBM Watson, Turnitin",2,None,AI teaching assistant that visualizes knowledge gaps,Yes,Develop Graph Neural Networks to predict student performance in Language learning for adaptive testing
daniel92@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,None,predictive analytics-powered concept visualization system,Yes,Create student AI ambassador program
hensley_j@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that predicts cognitive load,No,Ensemble methods-based system for resource recommendation focusing on engagement levels in Clinical skills
melissa.hensley@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that predicts cognitive load,Yes,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
joseph.johnson@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Turnitin, GitHub Copilot","Turnitin, GitHub Copilot",3,None,Personalized math learning coach,No,Implement real-time skill mastery prediction in Engineering fundamentals courses with Graph Neural Networks
guzman_h@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,"None, Integration with existing systems",Personalized languages learning coach,Yes,Develop Graph Neural Networks to predict student performance in Engineering fundamentals for curriculum optimization
karen.carter@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,Cost of implementation,Real-time languages error detection,No,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
donna87@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"IBM Watson, GitHub Copilot","IBM Watson, GitHub Copilot",2,None,AI teaching assistant that adapts to cognitive load,Maybe,Create Engineering fundamentals-specific model using Time-series analysis that enables tutor matching
nancy22@gmail.com,Other,Engineering,Not familiar at all,None,None,1,None,NLP-powered writing assistance system,Yes,Create Programming-specific model using Graph Neural Networks that enables resource recommendation
reed_j@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Grammarly,Grammarly,2,None,AI teaching assistant that predicts cognitive load,No,Create Business courses-specific model using Time-series analysis that enables curriculum optimization
julie.thomas@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,2,Technical issues with tools/platforms,Personalized clinical skills learning coach,Yes,Develop Graph Neural Networks to predict student performance in Engineering fundamentals for curriculum optimization
william.webb@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",2,None,Real-time clinical skills error detection,No,Develop Ensemble methods to predict skill mastery in Programming for early warning systems
mitchellh@gmail.com,Undergraduate,Education,Somewhat familiar,"IBM Watson, GitHub Copilot","IBM Watson, GitHub Copilot",2,Integration with existing systems,reinforcement learning-powered plagiarism detection system,No,Random Forests-based system for curriculum optimization focusing on skill mastery in Business courses
valentinen@gmail.com,Undergraduate,Business,Very familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",4,"Privacy concerns, Limited awareness of available AI tools",predictive analytics-powered automated grading system,No,Develop Time-series analysis to predict engagement levels in Engineering fundamentals for adaptive testing
franklin_j@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, GitHub Copilot","Microsoft Copilot, GitHub Copilot",3,None,knowledge graphs-powered concept visualization system,Yes,TA training program on AI ethics
william.harrison@gmail.com,Undergraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,"Technical issues with tools/platforms, Privacy concerns",Real-time languages error detection,Yes,Develop AI use policy addressing {issue}
troy77@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,"Lack of access to devices or internet, Privacy concerns",Real-time languages error detection,Maybe,Ensemble methods-based system for personalized learning paths focusing on course difficulty in Mathematics
katherine.solomon@gmail.com,Postgraduate,Business,Somewhat familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",3,None,NLP-powered automated grading system,Yes,Implement real-time knowledge retention prediction in Clinical skills courses with Random Forests
jessica.pearson@gmail.com,Other,Engineering,Not familiar at all,None,None,1,None,reinforcement learning-powered automated grading system,No,Implement real-time course difficulty prediction in Clinical skills courses with Ensemble methods
diana30@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,2,None,Automated math problem generator,Yes,Time-series analysis-based system for adaptive testing focusing on course difficulty in Programming
denise.hurst@gmail.com,Postgraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,None,NLP-powered automated grading system,Maybe,Implement real-time skill mastery prediction in Mathematics courses with Random Forests
kenneth.gardner@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,"None, Privacy concerns",knowledge graphs-powered plagiarism detection system,Maybe,Transformer models-based system for early warning systems focusing on course difficulty in Engineering fundamentals
joshua44@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,Lack of training on how to use AI tools,predictive analytics-powered automated grading system,Maybe,Implement real-time skill mastery prediction in Mathematics courses with Random Forests
jacqueline.carter@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,2,"Technical issues with tools/platforms, None",AI teaching assistant that predicts learning styles,Maybe,Create Business courses-specific model using Time-series analysis that enables curriculum optimization
jennifer63@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,Lack of access to devices or internet,AI teaching assistant that adapts to learning styles,No,Develop Transformer models to predict student performance in Language learning for resource recommendation
danielsv@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, Microsoft Copilot, IBM Watson, ChatGPT","GitHub Copilot, Microsoft Copilot, IBM Watson, ChatGPT",5,"Limited awareness of available AI tools, None",Automated programming problem generator,Yes,Implement real-time learning gaps prediction in Business courses courses with Time-series analysis
sarah84@gmail.com,Undergraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,"Cost of implementation, Lack of access to devices or internet",knowledge graphs-powered code debugging system,Maybe,Implement real-time learning gaps prediction in Clinical skills courses with Bayesian networks
christy.gonzalez@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,Privacy concerns,AI teaching assistant that visualizes learning styles,No,Develop Ensemble methods to predict student performance in Programming for early warning systems
kevin41@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,3,"Limited awareness of available AI tools, Integration with existing systems",computer vision-powered writing assistance system,Yes,Ensemble methods-based system for resource recommendation focusing on knowledge retention in Programming
gloria73@gmail.com,Postgraduate,Education,Somewhat familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",3,None,AI teaching assistant that predicts learning styles,Yes,Implement real-time course difficulty prediction in Business courses courses with Graph Neural Networks
daniel58@gmail.com,Postgraduate,Business,Somewhat familiar,"Grammarly, IBM Watson","Grammarly, IBM Watson",3,None,Automated programming problem generator,Yes,Create Engineering fundamentals-specific model using Graph Neural Networks that enables resource recommendation
scottr@gmail.com,Other,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,None,AI teaching assistant that adapts to knowledge gaps,Maybe,Student training program on prompt engineering
avila_e@gmail.com,Postgraduate,Education,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,predictive analytics-powered code debugging system,Maybe,Random Forests-based system for curriculum optimization focusing on skill mastery in Engineering fundamentals
jerome.long@gmail.com,Postgraduate,Engineering,Somewhat familiar,"ChatGPT, Microsoft Copilot","ChatGPT, Microsoft Copilot",2,None,AI teaching assistant that visualizes knowledge gaps,Yes,LSTM networks-based system for resource recommendation focusing on knowledge retention in Clinical skills
smithr@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Personalized math learning coach,Maybe,Develop AI use policy addressing {issue}
sandersc@gmail.com,Other,Education,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,"Integration with existing systems, Technical issues with tools/platforms",AI teaching assistant that visualizes cognitive load,No,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
john43@gmail.com,Postgraduate,Business,Somewhat familiar,IBM Watson,IBM Watson,3,None,AI teaching assistant that visualizes knowledge gaps,Yes,Develop Random Forests to predict course difficulty in Mathematics for personalized learning paths
courtney.gray@gmail.com,Postgraduate,Health Sciences,Very familiar,"GitHub Copilot, Grammarly","GitHub Copilot, Grammarly",4,"Lack of access to devices or internet, None",Automated math problem generator,Maybe,Create Clinical skills-specific model using Transformer models that enables personalized learning paths
walterm@gmail.com,Postgraduate,Health Sciences,Very familiar,"Grammarly, ChatGPT","Grammarly, ChatGPT",4,"Technical issues with tools/platforms, Privacy concerns",computer vision-powered code debugging system,Maybe,Implement real-time student performance prediction in Business courses courses with LSTM networks
cory.mckenzie@gmail.com,Undergraduate,Education,Somewhat familiar,"Microsoft Copilot, Grammarly","Microsoft Copilot, Grammarly",2,None,AI teaching assistant that predicts cognitive load,No,Create Programming-specific model using Random Forests that enables early warning systems
kayla78@gmail.com,Undergraduate,Education,Very familiar,"GitHub Copilot, IBM Watson","GitHub Copilot, IBM Watson",4,None,predictive analytics-powered concept visualization system,Maybe,Create Business courses-specific model using Graph Neural Networks that enables adaptive testing
jason.walker@gmail.com,Undergraduate,Education,Somewhat familiar,Grammarly,Grammarly,2,None,reinforcement learning-powered concept visualization system,Yes,Develop Graph Neural Networks to predict student performance in Language learning for adaptive testing
fernando73@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,None,computer vision-powered plagiarism detection system,Yes,Transformer models-based system for early warning systems focusing on engagement levels in Engineering fundamentals
michelle.cameron@gmail.com,Postgraduate,Business,Very familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,None,computer vision-powered writing assistance system,Maybe,Random Forests-based system for tutor matching focusing on dropout risk in Clinical skills
shelley20@gmail.com,Undergraduate,Education,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,knowledge graphs-powered automated grading system,Yes,Develop Graph Neural Networks to predict student performance in Programming for resource recommendation
andrew.wood@gmail.com,Postgraduate,Business,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",2,None,AI teaching assistant that adapts to cognitive load,No,Implement real-time learning gaps prediction in Clinical skills courses with Bayesian networks
anna78@gmail.com,Undergraduate,Engineering,Somewhat familiar,"IBM Watson, Grammarly","IBM Watson, Grammarly",2,Lack of access to devices or internet,AI teaching assistant that adapts to cognitive load,Yes,Implement real-time engagement levels prediction in Mathematics courses with Transformer models
aaron25@gmail.com,Undergraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,None,reinforcement learning-powered automated grading system,Maybe,Implement real-time student performance prediction in Programming courses with Time-series analysis
michele68@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,knowledge graphs-powered automated grading system,Yes,Transformer models-based system for early warning systems focusing on knowledge retention in Mathematics
heather72@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,Limited awareness of available AI tools,Real-time programming error detection,Yes,Create Programming-specific model using Bayesian networks that enables tutor matching
guerrac@gmail.com,Other,Education,Very familiar,"GitHub Copilot, Grammarly, Turnitin","GitHub Copilot, Grammarly, Turnitin",5,None,NLP-powered plagiarism detection system,Yes,Implement mobile-friendly AI platforms
timothy90@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,Limited awareness of available AI tools,NLP-powered concept visualization system,Maybe,Develop AI use policy addressing {issue}
jason88@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,Personalized clinical skills learning coach,Yes,Faculty training program on model interpretation
sims_k@gmail.com,Postgraduate,Engineering,Very familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,None,Real-time languages error detection,Yes,Implement real-time course difficulty prediction in Clinical skills courses with Ensemble methods
webbb@gmail.com,Postgraduate,Education,Not familiar at all,None,None,1,"Technical issues with tools/platforms, Cost of implementation",Automated clinical skills problem generator,No,Develop Graph Neural Networks to predict knowledge retention in Mathematics for tutor matching
derek.beasley@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,None,AI teaching assistant that visualizes knowledge gaps,Yes,Implement mobile-friendly AI platforms
jones_j@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",2,None,AI teaching assistant that adapts to knowledge gaps,Yes,Bayesian networks-based system for early warning systems focusing on learning gaps in Language learning
barbara95@gmail.com,Other,Business,Somewhat familiar,"IBM Watson, ChatGPT","IBM Watson, ChatGPT",3,Integration with existing systems,Automated math problem generator,Yes,Develop Ensemble methods to predict student performance in Clinical skills for tutor matching
turnerj@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,Privacy concerns,AI teaching assistant that predicts cognitive load,Maybe,Create Programming-specific model using Graph Neural Networks that enables resource recommendation
cheryl.fisher@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,NLP-powered concept visualization system,Yes,Develop Graph Neural Networks to predict learning gaps in Engineering fundamentals for adaptive testing
joshua42@gmail.com,Postgraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,3,None,Personalized clinical skills learning coach,Yes,Create Clinical skills-specific model using Ensemble methods that enables curriculum optimization
michael.johnston@gmail.com,Postgraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,3,None,reinforcement learning-powered code debugging system,Yes,Develop LSTM networks to predict knowledge retention in Programming for adaptive testing
daniel.gonzalez@gmail.com,Postgraduate,Business,Somewhat familiar,"GitHub Copilot, ChatGPT","GitHub Copilot, ChatGPT",2,"Cost of implementation, None",NLP-powered concept visualization system,Yes,Random Forests-based system for curriculum optimization focusing on skill mastery in Engineering fundamentals
scott11@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,3,None,reinforcement learning-powered code debugging system,Yes,Implement mobile-friendly AI platforms
jacqueline.patel@gmail.com,Undergraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,predictive analytics-powered writing assistance system,Maybe,Time-series analysis-based system for tutor matching focusing on knowledge retention in Engineering fundamentals
joseph.willis@gmail.com,Other,Business,Not familiar at all,None,None,1,None,knowledge graphs-powered plagiarism detection system,No,Create student AI ambassador program
tucker_r@gmail.com,Undergraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,2,None,reinforcement learning-powered code debugging system,Yes,Create Clinical skills-specific model using Transformer models that enables adaptive testing
fuentesr@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,Personalized math learning coach,Maybe,Implement real-time course difficulty prediction in Clinical skills courses with Ensemble methods
heather70@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,None,computer vision-powered concept visualization system,Maybe,Implement real-time learning gaps prediction in Business courses courses with Time-series analysis
kevin38@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"IBM Watson, ChatGPT","IBM Watson, ChatGPT",2,Privacy concerns,NLP-powered code debugging system,No,Develop AI use policy addressing {issue}
angela79@gmail.com,Undergraduate,Business,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,Integration with existing systems,computer vision-powered concept visualization system,No,Implement real-time student performance prediction in Programming courses with Time-series analysis
taylor.barnes@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,AI teaching assistant that predicts cognitive load,Maybe,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
kelli69@gmail.com,Postgraduate,Business,Somewhat familiar,"ChatGPT, GitHub Copilot","ChatGPT, GitHub Copilot",2,Cost of implementation,computer vision-powered automated grading system,Yes,Create Language learning-specific model using Random Forests that enables early warning systems
morrison_m@gmail.com,Postgraduate,Education,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",2,None,AI teaching assistant that predicts cognitive load,Yes,Graph Neural Networks-based system for personalized learning paths focusing on student performance in Mathematics
myers_h@gmail.com,Postgraduate,Education,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",2,None,NLP-powered writing assistance system,No,Time-series analysis-based system for adaptive testing focusing on skill mastery in Programming
acosta_c@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,computer vision-powered automated grading system,No,Implement real-time course difficulty prediction in Mathematics courses with Graph Neural Networks
kristen21@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,3,None,computer vision-powered code debugging system,No,Implement real-time learning gaps prediction in Mathematics courses with Graph Neural Networks
ebony32@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,Personalized languages learning coach,No,Develop Transformer models to predict engagement levels in Clinical skills for early warning systems
elizabeth.miller@gmail.com,Other,Education,Somewhat familiar,ChatGPT,ChatGPT,3,None,NLP-powered plagiarism detection system,Yes,Implement real-time course difficulty prediction in Business courses courses with Graph Neural Networks
edward15@gmail.com,Postgraduate,Business,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,AI teaching assistant that adapts to learning styles,Maybe,Implement real-time learning gaps prediction in Clinical skills courses with Bayesian networks
tiffany67@gmail.com,Other,Business,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",2,None,NLP-powered automated grading system,Maybe,Develop Ensemble methods to predict course difficulty in Clinical skills for curriculum optimization
ramirez_m@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, Microsoft Copilot","GitHub Copilot, Microsoft Copilot",2,None,AI teaching assistant that adapts to learning styles,No,Develop Graph Neural Networks to predict student performance in Programming for resource recommendation
colin.valdez@gmail.com,Postgraduate,Business,Very familiar,"Turnitin, Grammarly, ChatGPT","Turnitin, Grammarly, ChatGPT",3,"Lack of training on how to use AI tools, Technical issues with tools/platforms",NLP-powered plagiarism detection system,No,Implement real-time student performance prediction in Programming courses with Time-series analysis
walkerv@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,Real-time clinical skills error detection,Yes,Student training program on AI ethics
laura58@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,Integration with existing systems,computer vision-powered plagiarism detection system,No,Bayesian networks-based system for personalized learning paths focusing on course difficulty in Clinical skills
william75@gmail.com,Postgraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,Real-time math error detection,No,Create Programming-specific model using LSTM networks that enables personalized learning paths
oconnorc@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,predictive analytics-powered writing assistance system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for personalized learning paths
jason.hudson@gmail.com,Other,Business,Not familiar at all,None,None,1,None,predictive analytics-powered concept visualization system,Maybe,Random Forests-based system for curriculum optimization focusing on skill mastery in Business courses
brittney.le@gmail.com,Other,Health Sciences,Somewhat familiar,ChatGPT,ChatGPT,2,None,Real-time math error detection,Yes,Faculty training program on prompt engineering
stephen21@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,Limited awareness of available AI tools,AI teaching assistant that predicts learning styles,Maybe,Develop Transformer models to predict dropout risk in Language learning for resource recommendation
white_b@gmail.com,Postgraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,predictive analytics-powered concept visualization system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for personalized learning paths
nicole.baker@gmail.com,Other,Education,Somewhat familiar,Grammarly,Grammarly,2,None,NLP-powered concept visualization system,Yes,Create Engineering fundamentals-specific model using Bayesian networks that enables personalized learning paths
salasm@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",2,"Lack of access to devices or internet, Technical issues with tools/platforms",predictive analytics-powered code debugging system,Yes,Create Mathematics-specific model using Graph Neural Networks that enables early warning systems
travis17@gmail.com,Postgraduate,Engineering,Somewhat familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",2,None,knowledge graphs-powered automated grading system,Maybe,Develop Random Forests to predict skill mastery in Language learning for adaptive testing
harrison_r@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,None,predictive analytics-powered plagiarism detection system,No,Develop Random Forests to predict engagement levels in Mathematics for personalized learning paths
olsen_j@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",3,None,computer vision-powered concept visualization system,No,Create Clinical skills-specific model using Ensemble methods that enables adaptive testing
elizabeth28@gmail.com,Undergraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,Automated languages problem generator,Maybe,Develop Transformer models to predict knowledge retention in Mathematics for adaptive testing
billy.stephens@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,3,None,Personalized math learning coach,No,Develop Ensemble methods to predict course difficulty in Clinical skills for curriculum optimization
jacksons@gmail.com,Undergraduate,Business,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",3,None,predictive analytics-powered plagiarism detection system,Maybe,TA training program on prompt engineering
nicholas.leon@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,knowledge graphs-powered writing assistance system,No,Develop Graph Neural Networks to predict student performance in Engineering fundamentals for curriculum optimization
patricia49@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,"Lack of training on how to use AI tools, Limited awareness of available AI tools",knowledge graphs-powered automated grading system,Maybe,Develop LSTM networks to predict learning gaps in Language learning for curriculum optimization
charles.collins@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Grammarly,Grammarly,3,"Lack of access to devices or internet, Limited awareness of available AI tools",AI teaching assistant that predicts learning styles,No,Establish cross-department AI innovation fund
schmidtj@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,"Lack of access to devices or internet, None",predictive analytics-powered writing assistance system,No,Create Clinical skills-specific model using Transformer models that enables adaptive testing
sherri70@gmail.com,Postgraduate,Engineering,Somewhat familiar,"ChatGPT, GitHub Copilot","ChatGPT, GitHub Copilot",2,"Technical issues with tools/platforms, Lack of training on how to use AI tools",NLP-powered plagiarism detection system,No,Create Programming-specific model using Random Forests that enables resource recommendation
levye@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that predicts learning styles,Yes,Time-series analysis-based system for curriculum optimization focusing on learning gaps in Programming
hayesa@gmail.com,Undergraduate,Business,Somewhat familiar,"GitHub Copilot, IBM Watson","GitHub Copilot, IBM Watson",3,None,AI teaching assistant that predicts knowledge gaps,Yes,Develop Transformer models to predict dropout risk in Business courses for tutor matching
justin87@gmail.com,Undergraduate,Engineering,Very familiar,"Grammarly, Microsoft Copilot, GitHub Copilot","Grammarly, Microsoft Copilot, GitHub Copilot",5,None,NLP-powered automated grading system,No,Develop Bayesian networks to predict skill mastery in Programming for adaptive testing
david.lopez@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,reinforcement learning-powered automated grading system,No,Develop Random Forests to predict learning gaps in Clinical skills for tutor matching
vargas_a@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,Technical issues with tools/platforms,Personalized clinical skills learning coach,Maybe,Implement real-time course difficulty prediction in Clinical skills courses with Random Forests
ronald.williams@gmail.com,Other,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,"None, Privacy concerns",reinforcement learning-powered automated grading system,No,Develop Time-series analysis to predict engagement levels in Engineering fundamentals for adaptive testing
baker_n@gmail.com,Postgraduate,Business,Somewhat familiar,"GitHub Copilot, ChatGPT","GitHub Copilot, ChatGPT",2,Technical issues with tools/platforms,knowledge graphs-powered concept visualization system,Yes,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
zachary.wallace@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Personalized languages learning coach,Maybe,Develop Transformer models to predict course difficulty in Business courses for resource recommendation
robert21@gmail.com,Postgraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,Real-time programming error detection,No,Create Engineering fundamentals-specific model using Time-series analysis that enables curriculum optimization
mcdaniel_m@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,None,computer vision-powered automated grading system,Maybe,Develop Random Forests to predict skill mastery in Language learning for adaptive testing
ronald.richard@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,predictive analytics-powered automated grading system,Yes,Create Business courses-specific model using Ensemble methods that enables curriculum optimization
jessica74@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,Personalized math learning coach,Maybe,Bayesian networks-based system for curriculum optimization focusing on engagement levels in Business courses
jacksonj@gmail.com,Undergraduate,Engineering,Somewhat familiar,Grammarly,Grammarly,2,None,computer vision-powered writing assistance system,Maybe,Develop Ensemble methods to predict engagement levels in Clinical skills for personalized learning paths
combsd@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,2,Technical issues with tools/platforms,reinforcement learning-powered writing assistance system,No,LSTM networks-based system for personalized learning paths focusing on skill mastery in Mathematics
allison.schneider@gmail.com,Undergraduate,Business,Somewhat familiar,"Microsoft Copilot, ChatGPT","Microsoft Copilot, ChatGPT",3,Lack of access to devices or internet,NLP-powered plagiarism detection system,Maybe,Develop Graph Neural Networks to predict student performance in Language learning for adaptive testing
keith.holmes@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Automated clinical skills problem generator,Maybe,Develop Bayesian networks to predict skill mastery in Programming for adaptive testing
martinezj@gmail.com,Undergraduate,Education,Somewhat familiar,"ChatGPT, Grammarly","ChatGPT, Grammarly",3,Cost of implementation,knowledge graphs-powered concept visualization system,Yes,Create Programming-specific model using Random Forests that enables early warning systems
samuel.gill@gmail.com,Postgraduate,Engineering,Very familiar,"IBM Watson, Turnitin, Microsoft Copilot","IBM Watson, Turnitin, Microsoft Copilot",5,"Integration with existing systems, None",computer vision-powered code debugging system,Maybe,Develop Transformer models to predict dropout risk in Business courses for tutor matching
cheryl.white@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Automated math problem generator,Yes,Student training program on AI ethics
